"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"WA_125W_47N","47.000","-125.000","08/09/2012","06:17","305.2","2","3.29","390.7","2","3.35","1019.1","17.9","107.63","15.121","31.220","306.2","392.0","301.7","386.3","-84.6","302.8","387.7","-84.9"
"WA_125W_47N","47.000","-125.000","08/09/2012","09:17","295.1","2","3.20","390.8","2","3.32","1018.6","16.7","107.43","15.103","31.229","296.0","392.1","291.6","386.2","-94.7","292.6","387.7","-95.0"
"WA_125W_47N","47.000","-125.000","08/09/2012","12:17","299.4","2","3.18","390.8","2","3.28","1018.0","16.0","107.13","14.886","31.252","300.3","392.1","295.7","386.1","-90.3","296.8","387.5","-90.7"
"WA_125W_47N","47.000","-125.000","08/09/2012","15:17","298.3","2","3.42","390.6","2","3.42","1018.2","15.9","106.85","14.822","31.301","299.4","392.0","294.9","386.1","-91.2","295.9","387.5","-91.5"
"WA_125W_47N","47.000","-125.000","08/09/2012","18:17","301.6","2","3.32","390.1","2","3.38","1017.8","16.6","106.50","15.218","31.492","302.6","391.4","297.8","385.2","-87.4","298.9","386.6","-87.7"
"WA_125W_47N","47.000","-125.000","08/09/2012","21:17","295.0","2","3.42","391.1","2","3.39","1017.4","16.8","106.21","15.282","31.462","296.1","392.4","291.2","386.0","-94.8","292.3","387.4","-95.2"
"WA_125W_47N","47.000","-125.000","08/10/2012","00:17","303.2","2","3.48","386.4","2","3.36","1016.6","17.1","105.60","15.291","31.566","304.3","387.7","299.1","381.1","-82.0","300.1","382.5","-82.3"
"WA_125W_47N","47.000","-125.000","08/10/2012","03:17","296.8","2","3.15","383.4","2","3.18","1016.0","16.6","105.15","14.683","31.654","297.8","384.6","292.7","378.0","-85.4","293.7","379.4","-85.7"
"WA_125W_47N","47.000","-125.000","08/10/2012","06:17","301.5","2","3.15","381.6","2","3.22","1016.5","15.6","104.83","14.050","31.852","302.4","382.9","297.6","376.7","-79.2","298.7","378.1","-79.5"
"WA_125W_47N","47.000","-125.000","08/10/2012","09:17","302.6","2","3.10","381.1","2","3.17","1016.4","15.0","104.60","13.947","31.903","303.5","382.3","298.7","376.2","-77.6","299.8","377.6","-77.8"
"WA_125W_47N","47.000","-125.000","08/10/2012","12:17","306.8","2","3.15","381.2","2","3.20","1015.9","14.8","104.20","13.970","31.861","307.8","382.5","302.7","376.2","-73.5","303.8","377.6","-73.7"
"WA_125W_47N","47.000","-125.000","08/10/2012","15:17","302.0","2","3.23","381.6","2","3.23","1016.0","14.9","104.05","13.862","31.829","303.0","382.9","298.1","376.6","-78.5","299.2","378.0","-78.8"
"WA_125W_47N","47.000","-125.000","08/10/2012","18:17","295.1","2","3.48","383.1","2","3.33","1016.2","15.5","104.23","14.312","31.799","296.1","384.4","291.2","378.1","-86.8","292.3","379.5","-87.2"
"WA_125W_47N","47.000","-125.000","08/10/2012","21:17","280.8","2","3.80","384.4","2","3.47","1015.5","18.1","104.90","14.814","31.917","281.9","385.7","276.9","378.9","-102.0","277.9","380.3","-102.4"
"WA_125W_47N","47.000","-125.000","08/11/2012","00:17","257.5","2","3.86","384.9","2","3.53","1014.8","19.9","105.59","14.961","31.840","258.5","386.2","253.7","379.1","-125.4","254.6","380.4","-125.8"
"WA_125W_47N","47.000","-125.000","08/11/2012","03:17","228.5","2","3.56","383.1","2","3.47","1014.1","17.7","107.25","14.023","31.906","229.3","384.4","225.1","377.4","-152.3","226.0","378.8","-152.8"
"WA_125W_47N","47.000","-125.000","08/11/2012","06:17","266.6","2","3.25","382.5","2","3.26","1014.4","15.7","107.50","13.815","31.794","267.5","383.7","262.7","376.9","-114.2","263.7","378.3","-114.6"
"WA_125W_47N","47.000","-125.000","08/11/2012","09:17","274.1","2","3.19","383.4","2","3.24","1013.9","15.0","107.17","14.135","31.809","275.0","384.6","269.9","377.5","-107.6","270.9","378.9","-108.0"
"WA_125W_47N","47.000","-125.000","08/11/2012","12:17","242.1","2","3.17","384.7","2","3.21","1013.9","14.7","107.74","13.556","31.701","242.9","385.9","238.5","379.0","-140.5","239.4","380.4","-141.0"
"WA_125W_47N","47.000","-125.000","08/11/2012","15:17","217.0","2","3.16","384.9","2","3.20","1014.4","14.6","108.76","13.348","31.649","217.6","386.2","213.9","379.5","-165.6","214.7","380.9","-166.2"
"WA_125W_47N","47.000","-125.000","08/11/2012","18:17","209.9","2","3.26","385.2","2","3.26","1014.0","14.7","109.80","13.024","31.892","210.5","386.5","206.9","379.8","-172.9","207.7","381.2","-173.5"
"WA_125W_47N","47.000","-125.000","08/11/2012","21:17","185.7","2","3.21","384.0","2","3.21","1013.7","15.0","111.07","13.705","32.124","186.3","385.3","182.9","378.2","-195.3","183.5","379.6","-196.1"
"WA_125W_47N","47.000","-125.000","08/12/2012","00:17","214.2","2","3.09","390.0","2","3.15","1012.6","14.8","110.74","12.959","32.047","214.8","391.2","210.8","383.9","-173.1","211.6","385.3","-173.7"
"WA_125W_47N","47.000","-125.000","08/12/2012","03:17","264.9","2","2.99","391.2","2","3.06","1011.6","14.2","109.66","12.235","31.980","265.7","392.4","260.7","384.8","-124.2","261.6","386.3","-124.7"
"WA_125W_47N","47.000","-125.000","08/12/2012","06:17","228.1","2","3.08","391.4","2","3.12","1011.4","13.6","108.94","12.970","32.268","228.8","392.6","224.2","384.7","-160.5","225.1","386.2","-161.1"
"WA_125W_47N","47.000","-125.000","08/12/2012","09:17","234.6","2","3.11","391.2","2","3.15","1011.4","13.7","108.36","13.002","32.284","235.3","392.4","230.6","384.6","-154.0","231.5","386.0","-154.5"
"WA_125W_47N","47.000","-125.000","08/12/2012","12:17","236.9","2","3.13","388.3","2","3.18","1010.9","13.9","107.84","13.190","32.274","237.7","389.5","232.8","381.4","-148.7","233.6","382.9","-149.2"
"WA_125W_47N","47.000","-125.000","08/12/2012","15:17","247.5","2","3.16","386.8","2","3.20","1011.5","14.0","107.08","12.996","32.257","248.3","388.0","243.3","380.3","-137.0","244.2","381.7","-137.5"
"WA_125W_47N","47.000","-125.000","08/12/2012","18:17","250.4","2","3.34","386.5","2","3.33","1011.2","14.5","107.00","13.474","32.245","251.2","387.8","246.0","379.8","-133.7","246.9","381.2","-134.2"
"WA_125W_47N","47.000","-125.000","08/12/2012","21:17","241.7","2","3.58","387.2","2","3.50","1011.0","15.3","107.01","13.616","32.225","242.5","388.6","237.5","380.5","-143.0","238.3","381.9","-143.5"
"WA_125W_47N","47.000","-125.000","08/13/2012","00:17","236.1","2","3.61","386.9","2","3.52","1010.3","15.8","106.83","13.782","32.212","237.0","388.3","231.8","379.9","-148.0","232.7","381.2","-148.6"
"WA_125W_47N","47.000","-125.000","08/13/2012","03:17","226.1","2","3.29","385.7","2","3.34","1010.2","15.5","106.76","13.916","32.189","226.9","386.9","221.9","378.4","-156.6","222.7","379.8","-157.1"
"WA_125W_47N","47.000","-125.000","08/13/2012","06:17","286.3","2","3.15","385.6","2","3.22","1011.0","14.8","106.42","12.429","32.247","287.2","386.9","281.5","379.2","-97.7","282.5","380.6","-98.1"
"WA_125W_47N","47.000","-125.000","08/13/2012","09:17","347.3","2","3.11","387.4","2","3.17","1011.4","13.8","105.06","12.095","31.949","348.4","388.7","341.7","381.2","-39.5","343.0","382.6","-39.7"
"WA_125W_47N","47.000","-125.000","08/13/2012","12:17","360.7","2","3.10","387.9","2","3.15","1012.0","13.6","103.81","12.532","31.824","361.9","389.2","355.0","381.8","-26.8","356.3","383.2","-26.9"
"WA_125W_47N","47.000","-125.000","08/13/2012","15:17","386.2","2","3.12","387.7","2","3.14","1013.1","13.6","102.72","12.516","31.855","387.4","388.9","380.5","382.0","-1.4","382.0","383.4","-1.5"
"WA_125W_47N","47.000","-125.000","08/13/2012","18:17","373.9","2","3.20","386.9","2","3.18","1013.8","13.7","101.95","12.521","31.968","375.1","388.1","368.6","381.4","-12.8","370.0","382.9","-12.9"
"WA_125W_47N","47.000","-125.000","08/13/2012","21:17","361.7","2","3.40","385.8","2","3.32","1014.3","14.1","101.57","12.605","32.024","363.0","387.1","356.9","380.6","-23.7","358.2","382.0","-23.8"
"WA_125W_47N","47.000","-125.000","08/14/2012","00:17","347.0","2","3.45","385.5","2","3.37","1013.6","14.6","101.49","12.353","32.082","348.2","386.8","342.2","380.1","-37.9","343.5","381.6","-38.1"
"WA_125W_47N","47.000","-125.000","08/14/2012","03:17","340.7","2","3.14","385.8","2","3.18","1012.8","14.4","101.56","12.264","32.065","341.8","387.0","335.6","380.1","-44.5","336.9","381.5","-44.6"
"WA_125W_47N","47.000","-125.000","08/14/2012","06:17","345.2","2","3.10","386.3","2","3.17","1012.5","13.9","101.45","12.253","32.040","346.3","387.5","340.0","380.4","-40.4","341.2","381.8","-40.6"
"WA_125W_47N","47.000","-125.000","08/14/2012","09:17","324.9","2","3.16","388.1","2","3.22","1012.4","13.7","101.68","12.172","32.073","325.9","389.4","320.0","382.3","-62.3","321.2","383.7","-62.6"
"WA_125W_47N","47.000","-125.000","08/14/2012","12:17","346.5","2","3.15","388.2","2","3.21","1011.7","13.8","101.66","12.392","32.016","347.6","389.4","340.9","382.0","-41.0","342.2","383.4","-41.2"
"WA_125W_47N","47.000","-125.000","08/14/2012","15:17","393.7","2","3.20","390.6","2","3.23","1011.5","13.7","101.30","11.871","32.079","394.9","391.9","387.5","384.5","3.0","388.9","385.9","3.0"
"WA_125W_47N","47.000","-125.000","08/14/2012","18:17","363.9","2","3.42","391.7","2","3.42","1011.5","14.0","101.36","12.220","32.015","365.1","393.0","358.1","385.5","-27.4","359.4","386.9","-27.5"
"WA_125W_47N","47.000","-125.000","08/14/2012","21:17","316.4","2","3.62","390.5","2","3.60","1011.2","14.7","102.28","13.117","31.940","317.5","391.9","311.1","383.9","-72.8","312.3","385.4","-73.1"
"WA_125W_47N","47.000","-125.000","08/15/2012","00:17","296.2","2","3.42","390.3","2","3.45","1010.2","15.2","102.78","13.376","31.960","297.2","391.6","290.8","383.2","-92.4","291.9","384.6","-92.8"
"WA_125W_47N","47.000","-125.000","08/15/2012","03:17","298.8","2","3.32","390.2","2","3.38","1009.0","14.9","103.35","13.410","31.963","299.8","391.5","293.0","382.6","-89.6","294.1","384.0","-89.9"
"WA_125W_47N","47.000","-125.000","08/15/2012","06:17","281.1","2","3.24","390.2","2","3.31","1009.0","14.6","103.98","13.589","31.961","282.0","391.5","275.5","382.5","-107.0","276.6","384.0","-107.4"
"WA_125W_47N","47.000","-125.000","08/15/2012","09:17","333.8","2","3.28","390.2","2","3.32","1009.0","14.3","103.80","13.082","31.996","334.9","391.5","327.4","382.7","-55.3","328.6","384.1","-55.5"
"WA_125W_47N","47.000","-125.000","08/15/2012","12:17","374.1","2","3.09","390.1","2","3.15","1009.1","14.0","103.16","12.534","32.058","375.3","391.4","367.1","382.8","-15.7","368.5","384.2","-15.8"
"WA_125W_47N","47.000","-125.000","08/15/2012","15:17","429.0","2","3.11","390.7","2","3.09","1009.4","13.4","102.10","11.899","32.128","430.4","391.9","421.3","383.7","37.7","422.9","385.1","37.8"
"WA_125W_47N","47.000","-125.000","08/15/2012","18:17","453.5","2","3.50","398.0","2","3.42","1009.0","14.4","101.39","12.212","32.075","455.1","399.4","445.3","390.8","54.5","446.9","392.2","54.7"
"WA_125W_47N","47.000","-125.000","08/15/2012","21:17","417.0","2","3.86","391.0","2","3.75","1008.4","18.2","101.47","13.639","32.067","418.7","392.5","408.8","383.2","25.6","410.3","384.7","25.7"
"WA_125W_47N","47.000","-125.000","08/16/2012","00:17","364.9","2","4.51","399.6","2","4.03","1007.1","21.3","102.10","14.409","31.972","366.6","401.2","357.2","390.9","-33.7","358.5","392.4","-33.8"
"WA_125W_47N","47.000","-125.000","08/16/2012","03:17","282.6","2","4.52","393.4","2","4.16","1005.8","18.9","103.42","13.892","31.873","283.8","395.0","276.4","384.7","-108.3","277.4","386.1","-108.7"
