Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WA_125W_47N,47.68,-122.25,6/23/2006,6:16,190.9,2,4.42,383.8,2,4.03,1028.8,14.7,98.87,12.999,31.433,191.7,385.3,191.2,384.2,-193,191.9,385.7,-193.8
WA_125W_47N,47.68,-122.25,6/23/2006,9:16,177.2,2,4.25,384.7,2,4.08,1028.2,13.9,98.83,13.158,31.378,178,386.3,177.3,384.8,-207.5,178,386.3,-208.3
WA_125W_47N,47.68,-122.25,6/23/2006,12:16,171.7,2,4.07,386.4,2,3.94,1028.8,13.6,98.81,12.863,31.364,172.4,387.9,171.9,386.8,-214.9,172.5,388.3,-215.8
WA_125W_47N,47.68,-122.25,6/23/2006,15:16,174,2,4.21,388.3,2,4.08,1029.2,13.6,98.81,12.814,31.359,174.7,389.9,174.3,389,-214.7,174.9,390.5,-215.5
WA_125W_47N,47.68,-122.25,6/23/2006,18:16,214,2,4.88,386.9,2,4.74,1029.1,16.3,98.88,13.188,31.377,215.1,388.7,214.5,387.6,-173.2,215.3,389.1,-173.8
WA_125W_47N,47.68,-122.25,6/23/2006,21:16,220.6,2,5.01,383.7,2,4.52,1028.7,17.1,98.77,13.877,31.359,221.7,385.5,220.9,384,-163.1,221.7,385.4,-163.7
WA_125W_47N,47.68,-122.25,6/24/2006,3:16,292.7,2,4.69,383.4,2,4.37,1026.6,15.9,99.55,13.725,31.321,294.1,385.1,292.4,382.9,-90.5,293.5,384.3,-90.8
WA_125W_47N,47.68,-122.25,6/24/2006,6:16,285,2,4.49,383.4,2,4.3,1026.5,14.9,99.85,13.423,31.34,286.2,385.1,284.6,382.9,-98.3,285.7,384.3,-98.6
WA_125W_47N,47.68,-122.25,6/24/2006,9:16,285.2,2,4.42,383.8,2,4.33,1026.1,14.5,99.83,13.553,31.382,286.5,385.4,284.7,383.1,-98.4,285.8,384.5,-98.7
WA_125W_47N,47.68,-122.25,6/24/2006,12:16,296.6,2,4.33,384,2,4.26,1026.1,14.4,99.84,13.408,31.433,297.9,385.6,296.2,383.3,-87.2,297.3,384.8,-87.5
WA_125W_47N,47.68,-122.25,6/24/2006,15:16,264.4,2,4.39,383.9,2,4.35,1026.6,14.4,99.84,13.92,31.412,265.6,385.5,264,383.2,-119.3,265,384.7,-119.7
WA_125W_47N,47.68,-122.25,6/24/2006,18:16,248,2,4.61,385,2,4.52,1025.9,15,99.64,14.146,31.397,249.2,386.8,247.5,384.1,-136.7,248.4,385.6,-137.2
WA_125W_47N,47.68,-122.25,6/24/2006,21:16,268.1,2,4.75,385.6,2,4.68,1025.2,15.4,99.67,14.434,31.369,269.3,387.4,267.2,384.4,-117.2,268.2,385.8,-117.6
WA_125W_47N,47.68,-122.25,6/25/2006,3:16,340.1,2,4.87,384,2,4.68,1023.1,16,101.18,14.095,31.454,341.7,385.8,338.5,382.1,-43.6,339.7,383.5,-43.8
WA_125W_47N,47.68,-122.25,6/25/2006,6:16,330.9,2,4.59,383.8,2,4.5,1023.1,15.2,101.25,13.166,31.553,332.4,385.5,329.5,382.2,-52.7,330.7,383.6,-52.9
WA_125W_47N,47.68,-122.25,6/25/2006,9:16,319,2,4.41,383.6,2,4.36,1023.1,14.5,100.65,12.548,31.569,320.4,385.2,317.8,382.1,-64.3,319,383.6,-64.6
WA_125W_47N,47.68,-122.25,6/25/2006,12:16,263.6,2,4.26,383.5,2,4.26,1023.4,13.9,100.17,11.859,31.637,264.7,385.2,262.8,382.4,-119.6,263.8,383.8,-120.1
WA_125W_47N,47.68,-122.25,6/25/2006,15:16,233.6,2,4.32,384.9,2,4.29,1023.7,13.9,99.77,12.211,31.646,234.6,386.6,232.9,383.8,-150.9,233.8,385.2,-151.5
WA_125W_47N,47.68,-122.25,6/25/2006,18:16,224.7,2,4.58,389.9,2,4.61,1023.6,15,99.54,12.654,31.61,225.8,391.7,224,388.7,-164.6,224.9,390.2,-165.3
WA_125W_47N,47.68,-122.25,6/25/2006,21:16,240,2,5.08,390.3,2,4.89,1022.7,17,99.33,13.482,31.62,241.2,392.2,238.9,388.5,-149.6,239.8,390,-150.1
WA_125W_47N,47.68,-122.25,6/26/2006,0:16,339.4,2,5.01,385.7,2,4.75,1021.1,16.6,99.01,12.475,31.694,341.1,387.6,337.7,383.7,-46,339,385.1,-46.1
WA_125W_47N,47.68,-122.25,6/26/2006,3:16,392.1,2,4.69,382.8,2,4.57,1019.9,15.3,99.1,12.399,31.692,394,384.6,389.6,380.3,9.3,391.1,381.7,9.3
WA_125W_47N,47.68,-122.25,6/26/2006,6:16,383.8,2,4.44,382.2,2,4.4,1019.7,14.3,98.9,12.086,31.707,385.6,383.9,381.3,379.7,1.6,382.7,381.1,1.6
WA_125W_47N,47.68,-122.25,6/26/2006,9:16,321.5,2,4.29,382.4,2,4.29,1018.9,13.8,98.68,11.553,31.755,322.9,384.1,319.2,379.7,-60.5,320.4,381.2,-60.7
WA_125W_47N,47.68,-122.25,6/26/2006,12:16,271.7,2,4.17,383,2,4.2,1018.7,13.5,98.57,11.635,31.77,272.8,384.7,269.6,380.2,-110.5,270.7,381.6,-110.9
WA_125W_47N,47.68,-122.25,6/26/2006,15:16,243.1,2,4.29,385,2,4.32,1018.5,13.7,98.52,12.047,31.77,244.2,386.7,241.2,381.9,-140.7,242.1,383.4,-141.3
WA_125W_47N,47.68,-122.25,6/26/2006,18:16,233.1,2,4.59,386.8,2,4.66,1017.5,14.9,98.57,12.254,31.829,234.2,388.6,231,383.4,-152.3,231.9,384.8,-152.9
WA_125W_47N,47.68,-122.25,6/26/2006,21:16,229.3,2,5.04,389.8,2,5.04,1016.4,16.4,98.56,12.821,31.797,230.4,391.8,227,385.9,-158.9,227.8,387.4,-159.5
WA_125W_47N,47.68,-122.25,6/27/2006,0:16,292.5,2,5.07,382.5,2,4.78,1014.1,17.1,98.51,12.607,31.782,294,384.3,289,377.8,-88.8,290.1,379.2,-89.1
WA_125W_47N,47.68,-122.25,6/27/2006,3:16,393.5,2,4.88,382.5,2,4.76,1014.2,15.5,99.23,12.513,31.835,395.4,384.4,388.7,377.9,10.8,390.2,379.3,10.9
WA_125W_47N,47.68,-122.25,6/27/2006,6:16,324,2,4.42,383.2,2,4.38,1014.6,14.6,99.24,12.648,31.848,325.5,384.9,320.1,378.5,-58.4,321.3,379.9,-58.6
WA_125W_47N,47.68,-122.25,6/27/2006,9:16,272.2,2,4.3,384.1,2,4.28,1014.7,13.8,99.03,11.614,31.944,273.3,385.7,269.1,379.7,-110.6,270.1,381.2,-111.1
WA_125W_47N,47.68,-122.25,6/27/2006,12:16,272.3,2,4.11,383.8,2,4.1,1015.6,13.3,98.85,11.033,32.051,273.4,385.4,269.5,380,-110.4,270.6,381.4,-110.8
WA_125W_47N,47.68,-122.25,6/27/2006,15:16,259.9,2,4.18,384.1,2,4.22,1016.7,13.2,98.75,11.387,31.902,261,385.8,257.5,380.6,-123.1,258.5,382.1,-123.5
WA_125W_47N,47.68,-122.25,6/27/2006,18:16,365.3,2,4.28,384.3,2,4.22,1017.6,13.9,98.54,11.914,31.857,366.9,386,362.2,381,-18.8,363.5,382.4,-18.9
WA_125W_47N,47.68,-122.25,6/27/2006,21:16,407.6,2,4.26,383.4,2,4.1,1018.4,13.8,98.57,12.094,31.882,409.4,384.9,404.3,380.2,24.1,405.8,381.6,24.2
WA_125W_47N,47.68,-122.25,6/28/2006,0:16,424.7,2,4.34,384.1,2,4.09,1018.6,14,98.65,11.808,31.93,426.5,385.7,421.4,381.1,40.3,423,382.5,40.5
