"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"WA_125W_47N","47.690","-122.260","05/29/2009","03:17","138.2","2","4.56","389.0","2","4.69","1014.6","15.7","121.70","-999.000","-999.000","138.8","390.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/29/2009","06:17","160.1","2","4.63","392.0","2","4.82","1014.7","13.2","121.53","-999.000","-999.000","160.8","393.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/29/2009","09:17","150.9","2","4.58","389.4","2","4.72","1015.5","12.4","121.85","-999.000","-999.000","151.6","391.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/29/2009","12:17","178.8","2","4.46","389.5","2","4.61","1015.9","12.2","120.29","-999.000","-999.000","179.6","391.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/29/2009","15:17","222.3","3","4.58","388.8","2","4.79","1016.8","12.5","117.24","-999.000","-999.000","223.3","390.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/29/2009","18:17","208.0","3","4.60","388.7","2","4.79","1018.7","13.0","114.99","-999.000","-999.000","209.0","390.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/29/2009","21:17","196.9","2","4.67","388.5","2","4.87","1019.6","13.4","113.90","-999.000","-999.000","197.8","390.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","00:17","212.6","2","4.66","388.9","2","4.85","1019.2","13.1","112.19","-999.000","-999.000","213.6","390.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","03:17","216.6","2","4.41","389.3","2","4.66","1018.7","12.5","108.03","-999.000","-999.000","217.6","391.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","06:17","227.0","2","4.48","389.4","2","4.74","1019.5","12.1","106.15","-999.000","-999.000","228.0","391.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","09:17","228.2","2","4.46","389.2","2","4.69","1018.7","12.1","106.15","-999.000","-999.000","229.2","391.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","12:17","232.1","2","4.53","388.6","2","4.75","1018.4","12.0","105.88","-999.000","-999.000","233.1","390.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","15:17","230.8","2","4.63","387.4","2","4.75","1018.2","12.2","105.87","-999.000","-999.000","231.8","389.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","18:17","231.0","2","4.77","388.5","2","4.77","1018.2","13.6","105.82","-999.000","-999.000","232.1","390.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/30/2009","21:17","237.0","2","5.27","389.8","2","5.02","1017.4","14.4","105.61","-999.000","-999.000","238.3","391.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","00:17","239.1","2","5.28","390.4","2","5.07","1015.1","14.7","105.27","-999.000","-999.000","240.4","392.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","03:17","223.7","2","5.08","390.0","2","5.08","1014.4","14.3","105.49","-999.000","-999.000","224.8","392.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","06:17","187.8","2","4.90","387.9","2","5.03","1015.2","13.2","107.05","-999.000","-999.000","188.7","389.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","09:17","196.2","2","4.86","385.9","2","4.99","1014.8","12.6","107.77","-999.000","-999.000","197.1","387.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","12:17","210.7","2","4.84","385.8","2","4.91","1015.0","12.3","107.77","-999.000","-999.000","211.7","387.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","15:17","220.5","2","4.83","387.4","2","4.92","1015.7","13.1","107.22","-999.000","-999.000","221.5","389.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","18:17","225.2","2","5.24","386.5","2","5.26","1016.1","13.4","106.71","-999.000","-999.000","226.4","388.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","05/31/2009","21:17","232.0","2","5.91","386.8","2","5.60","1015.4","15.2","106.42","-999.000","-999.000","233.3","388.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","00:17","248.5","2","6.81","386.8","2","6.24","1013.9","16.6","105.80","-999.000","-999.000","250.2","389.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","03:17","219.7","2","6.26","385.9","2","6.04","1013.3","16.5","106.25","-999.000","-999.000","221.0","388.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","06:17","201.2","2","5.33","386.4","2","5.36","1014.4","14.6","107.28","-999.000","-999.000","202.3","388.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","09:17","208.5","2","5.34","386.5","2","5.30","1014.8","13.3","107.84","-999.000","-999.000","209.6","388.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","12:17","218.2","2","5.25","386.7","2","5.23","1014.5","13.2","107.92","-999.000","-999.000","219.3","388.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","15:17","232.6","2","5.55","386.6","2","5.41","1014.7","13.3","107.64","-999.000","-999.000","233.9","388.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","18:17","227.3","2","6.54","386.0","2","5.61","1014.9","16.3","107.62","-999.000","-999.000","228.8","388.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/01/2009","21:17","253.4","2","7.06","386.5","2","5.88","1013.7","19.4","106.95","-999.000","-999.000","255.2","388.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/02/2009","00:17","233.8","2","7.37","388.1","2","6.38","1012.5","19.9","106.67","-999.000","-999.000","235.6","390.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/02/2009","03:17","197.6","2","6.94","388.5","2","6.42","1012.6","17.7","108.05","-999.000","-999.000","199.0","391.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/02/2009","06:17","182.8","2","6.11","388.6","2","6.04","1014.0","15.4","109.79","-999.000","-999.000","183.9","390.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.690","-122.260","06/02/2009","09:17","238.9","2","5.72","387.8","2","5.63","1014.6","14.2","108.71","-999.000","-999.000","240.3","390.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
