"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"WA_125W_47N","47.353","-124.731","10/17/2007","03:16","414.2","2","5.18","379.9","2","5.35","1001.5","12.8","99.15","11.558","31.926","416.4","381.9","404.5","371.0","33.5","406.0","372.4","33.6"
"WA_125W_47N","47.353","-124.731","10/17/2007","06:16","406.2","2","5.16","380.2","2","5.28","1001.1","12.0","99.52","11.683","31.902","408.3","382.2","396.5","371.1","25.3","397.9","372.5","25.4"
"WA_125W_47N","47.353","-124.731","10/17/2007","09:16","407.5","2","5.14","381.2","2","5.21","1001.5","11.6","99.15","11.608","31.901","409.6","383.2","397.9","372.3","25.6","399.4","373.7","25.7"
"WA_125W_47N","47.353","-124.731","10/17/2007","12:16","398.6","2","5.30","381.7","2","5.34","1003.2","11.3","99.03","11.724","31.832","400.7","383.8","389.9","373.5","16.5","391.4","374.9","16.5"
"WA_125W_47N","47.353","-124.731","10/17/2007","15:16","399.1","2","5.11","383.1","2","5.17","1006.3","11.1","98.82","11.725","31.876","401.1","385.1","391.6","375.9","15.6","393.0","377.3","15.7"
"WA_125W_47N","47.353","-124.731","10/17/2007","18:16","398.0","2","5.36","383.6","2","5.27","1008.8","11.6","98.62","11.801","31.891","400.1","385.6","391.6","377.4","14.2","393.0","378.8","14.2"
"WA_125W_47N","47.353","-124.731","10/17/2007","21:16","398.7","2","5.49","382.0","2","5.38","1010.3","12.0","98.63","11.815","31.875","400.9","384.0","392.9","376.3","16.5","394.4","377.8","16.6"
"WA_125W_47N","47.353","-124.731","10/18/2007","00:16","389.5","2","5.53","381.7","2","5.56","1011.8","12.6","98.59","11.795","31.908","391.7","383.9","384.4","376.7","7.7","385.9","378.2","7.7"
"WA_125W_47N","47.353","-124.731","10/18/2007","03:16","388.8","2","5.23","382.2","2","5.24","1012.2","12.2","98.61","11.772","31.909","390.8","384.2","383.7","377.2","6.5","385.2","378.6","6.5"
"WA_125W_47N","47.353","-124.731","10/18/2007","06:16","389.8","2","5.40","382.4","2","5.40","1010.8","11.9","98.51","11.845","31.897","392.0","384.5","384.3","376.9","7.3","385.7","378.4","7.4"
"WA_125W_47N","47.353","-124.731","10/18/2007","09:16","398.4","2","5.08","388.1","2","5.18","1008.3","12.0","99.17","11.731","31.903","400.4","390.1","391.6","381.5","10.1","393.1","383.0","10.1"
"WA_125W_47N","47.353","-124.731","10/18/2007","12:16","398.1","2","5.13","386.1","2","5.19","1001.4","11.9","99.83","11.960","31.959","400.1","388.1","388.6","376.9","11.7","390.0","378.3","11.8"
"WA_125W_47N","47.353","-124.731","10/18/2007","15:16","404.8","2","5.19","395.9","3","5.19","991.7","11.7","99.89","11.460","31.958","406.9","398.0","391.5","382.9","8.6","392.9","384.3","8.6"
"WA_125W_47N","47.353","-124.731","10/18/2007","18:16","442.0","2","5.94","382.0","2","5.97","989.3","11.5","99.58","11.177","31.986","444.6","384.3","426.8","368.9","57.9","428.4","370.3","58.1"
"WA_125W_47N","47.353","-124.731","10/18/2007","21:16","424.7","2","6.31","383.5","2","6.36","993.0","12.7","100.04","11.336","31.971","427.3","386.0","411.7","371.9","39.8","413.2","373.2","40.0"
"WA_125W_47N","47.353","-124.731","10/19/2007","00:16","426.6","2","5.54","384.5","2","5.60","1002.0","12.8","99.75","11.284","31.984","429.0","386.6","417.1","375.9","41.2","418.7","377.3","41.4"
"WA_125W_47N","47.353","-124.731","10/19/2007","03:16","438.6","2","5.58","384.4","2","5.62","1002.0","12.0","98.87","11.134","32.024","441.0","386.6","428.8","375.9","52.9","430.4","377.3","53.1"
"WA_125W_47N","47.353","-124.731","10/19/2007","06:16","410.6","2","5.62","381.5","2","5.67","999.2","11.9","98.42","11.551","31.967","412.9","383.7","400.3","371.9","28.4","401.8","373.3","28.5"
"WA_125W_47N","47.353","-124.731","10/19/2007","09:16","404.3","2","5.49","381.8","2","5.61","997.5","12.3","98.02","11.575","32.013","406.5","383.9","393.4","371.5","21.9","394.8","372.9","22.0"
"WA_125W_47N","47.353","-124.731","10/19/2007","12:16","386.6","2","5.68","381.4","2","5.79","999.4","12.2","99.01","11.704","31.985","388.8","383.7","376.9","371.9","5.0","378.3","373.3","5.0"
"WA_125W_47N","47.353","-124.731","10/19/2007","15:16","366.0","2","5.90","381.5","2","5.97","1001.8","12.2","99.29","11.738","32.000","368.2","383.8","357.8","372.9","-15.2","359.1","374.3","-15.2"
"WA_125W_47N","47.353","-124.731","10/19/2007","18:16","394.8","2","5.08","382.0","2","5.35","1004.1","12.2","100.03","11.627","32.026","396.8","384.0","386.5","374.0","12.5","388.0","375.5","12.5"
"WA_125W_47N","47.353","-124.731","10/19/2007","21:16","376.0","2","5.78","381.5","2","5.90","1003.5","12.1","99.62","11.817","32.029","378.2","383.7","368.1","373.5","-5.4","369.4","374.9","-5.4"
"WA_125W_47N","47.353","-124.731","10/20/2007","00:16","370.3","2","5.86","381.4","2","6.00","1003.5","12.6","99.91","11.880","32.008","372.4","383.7","362.5","373.4","-10.9","363.8","374.8","-11.0"
"WA_125W_47N","47.353","-124.731","10/20/2007","03:16","356.9","2","5.46","380.9","2","5.57","1003.3","12.1","99.89","11.972","32.011","358.8","383.0","349.2","372.7","-23.5","350.5","374.1","-23.6"
"WA_125W_47N","47.353","-124.731","10/20/2007","06:16","358.4","2","5.51","380.7","2","5.57","1003.7","11.9","99.83","11.967","32.029","360.4","382.8","350.8","372.6","-21.8","352.1","374.0","-21.9"
"WA_125W_47N","47.353","-124.731","10/20/2007","09:16","365.6","2","5.39","381.9","2","5.50","1004.7","11.8","99.91","11.895","32.018","367.5","384.0","358.1","374.1","-16.0","359.5","375.5","-16.1"
"WA_125W_47N","47.353","-124.731","10/20/2007","12:16","361.0","2","5.09","381.4","2","5.29","1005.7","12.0","99.57","12.463","32.035","362.8","383.4","353.7","373.8","-20.0","355.0","375.2","-20.1"
"WA_125W_47N","47.353","-124.731","10/20/2007","15:16","363.4","2","5.31","381.3","2","5.48","1007.7","11.8","99.49","12.138","32.040","365.3","383.4","357.0","374.7","-17.7","358.3","376.1","-17.7"
"WA_125W_47N","47.353","-124.731","10/20/2007","18:16","361.8","2","5.78","381.6","2","5.81","1012.2","12.1","99.31","12.344","32.065","363.9","383.8","357.1","376.6","-19.5","358.5","378.0","-19.5"
"WA_125W_47N","47.353","-124.731","10/20/2007","21:16","356.6","2","6.26","382.1","2","6.30","1015.6","12.7","99.76","12.004","32.025","358.9","384.5","353.5","378.7","-25.2","354.8","380.1","-25.3"
"WA_125W_47N","47.353","-124.731","10/21/2007","00:16","355.1","2","6.04","380.5","2","5.94","1018.4","13.0","99.44","12.045","32.032","357.3","382.8","352.9","378.1","-25.2","354.2","379.5","-25.3"
"WA_125W_47N","47.353","-124.731","10/21/2007","03:16","352.5","2","5.83","380.5","2","5.79","1021.5","12.6","99.62","12.420","32.076","354.6","382.8","351.2","379.1","-27.9","352.5","380.5","-28.0"
