"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"WA_125W_47N","47.000","-125.000","09/02/2011","03:17","260.7","2","5.31","378.4","2","4.89","1022.4","18.9","111.66","-999.000","-999.000","262.1","380.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","06:17","292.3","2","4.86","378.9","2","4.63","1022.3","16.6","111.28","-999.000","-999.000","293.8","380.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","09:17","309.4","2","4.51","380.2","2","4.46","1022.4","15.6","110.19","-999.000","-999.000","310.8","381.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","12:17","274.3","2","4.32","379.5","2","4.31","1022.8","14.6","110.17","-999.000","-999.000","275.5","381.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","15:17","353.2","2","4.23","379.3","2","4.23","1024.2","14.1","108.60","-999.000","-999.000","354.6","380.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","18:17","300.1","2","4.71","380.2","2","4.54","1025.3","15.0","108.77","-999.000","-999.000","301.5","381.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","21:17","281.8","2","4.82","381.4","2","4.54","1025.2","17.5","109.38","-999.000","-999.000","283.1","383.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/02/2011","23:17","259.3","2","4.81","382.1","2","4.47","1024.6","18.1","110.54","-999.000","-999.000","260.5","383.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","00:17","252.9","2","4.50","383.1","2","4.19","1024.1","18.1","111.48","-999.000","-999.000","254.0","384.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","01:17","253.4","2","4.50","383.2","2","4.23","1023.8","17.7","111.95","-999.000","-999.000","254.6","384.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","02:17","248.8","2","4.01","384.3","2","3.85","1023.5","17.2","112.52","-999.000","-999.000","249.8","385.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","03:17","264.8","2","3.81","383.1","2","3.70","1023.4","16.4","112.46","-999.000","-999.000","265.8","384.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","04:17","268.1","2","3.75","382.6","2","3.64","1023.6","15.7","112.34","-999.000","-999.000","269.1","384.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","05:17","282.6","2","3.74","384.1","2","3.65","1023.7","15.2","111.95","-999.000","-999.000","283.7","385.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","06:17","297.1","2","3.81","385.0","2","3.73","1023.2","14.8","111.27","-999.000","-999.000","298.2","386.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","07:17","222.4","2","3.83","385.4","2","3.77","1023.0","14.6","112.36","-999.000","-999.000","223.3","386.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","08:17","272.6","2","3.82","384.7","2","3.78","1022.6","14.5","112.07","-999.000","-999.000","273.7","386.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","09:17","247.4","2","3.77","386.7","2","3.75","1022.4","14.4","112.47","-999.000","-999.000","248.4","388.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","10:17","272.7","2","3.68","385.5","2","3.67","1022.0","14.4","112.26","-999.000","-999.000","273.7","387.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"WA_125W_47N","47.000","-125.000","09/03/2011","11:17","301.3","2","3.64","385.7","2","3.64","1021.6","14.2","111.25","-999.000","-999.000","302.4","387.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
