Cruise# ostrich20`1ostrich2014
Date: 05/30/14

CTD probe# 1
DVL# 2
Oxy Probe# 3
Fluorometer# 4
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
08:36:46.69	1.92	1.90	27.76	36.32	0.03	0.7626	2.236837E-3	1554.00	396.00	0.00	9999.99	-2.15	18.44	127.70	No GPS Data	No GPS Data	380.00	380.00	1554.00	396.00	-21.37	-20.66
08:36:47.10	1.92	1.90	27.76	36.32	0.03	0.7600	2.302452E-3	4170.00	-89.00	0.00	9999.99	-6.57	14.93	134.40	No GPS Data	No GPS Data	1311.00	1311.00	4170.00	-89.00	-20.01	0.03
08:36:47.64	1.92	1.90	27.76	36.32	0.03	0.7574	1.974962E-3	4170.00	-89.00	0.00	9999.99	-6.57	14.93	134.40	No GPS Data	No GPS Data	1311.00	1311.00	4170.00	-89.00	-20.02	0.02
08:36:48.17	1.08	1.07	27.76	36.32	0.03	0.7589	2.349079E-3	4117.00	-94.00	0.00	9999.99	-2.01	18.81	129.80	No GPS Data	No GPS Data	556.00	556.00	4117.00	-94.00	-20.02	0.03
08:36:48.72	0.99	0.99	27.76	36.32	0.03	0.7596	2.533383E-3	4117.00	-94.00	0.00	9999.99	-2.01	18.81	129.80	No GPS Data	No GPS Data	556.00	556.00	4117.00	-94.00	-20.00	0.03
08:36:49.25	1.01	1.01	27.76	36.32	0.03	0.7600	2.132449E-3	4117.00	-94.00	0.00	9999.99	-2.01	18.81	129.80	No GPS Data	No GPS Data	556.00	556.00	4117.00	-94.00	-20.01	0.03
08:36:49.79	1.01	1.00	27.76	36.32	0.03	0.7618	3.019309E-3	1732.00	1541.00	0.00	9999.99	-4.83	17.99	126.00	No GPS Data	No GPS Data	-4399.00	-4399.00	1732.00	1541.00	-20.00	0.02
08:36:50.32	0.96	0.95	27.76	36.32	0.03	0.7603	2.349970E-3	1732.00	1541.00	0.00	9999.99	-4.83	17.99	126.00	No GPS Data	No GPS Data	-4399.00	-4399.00	1732.00	1541.00	-20.00	0.03
08:36:50.86	0.83	0.82	27.76	36.32	0.03	0.7629	2.230471E-3	1311.00	-43.00	0.00	9999.99	-1.41	17.24	129.40	No GPS Data	No GPS Data	577.00	577.00	1311.00	-43.00	-20.02	0.03
08:36:51.41	0.83	0.82	27.76	36.32	0.03	0.7614	2.289667E-3	1311.00	-43.00	0.00	9999.99	-1.41	17.24	129.40	No GPS Data	No GPS Data	577.00	577.00	1311.00	-43.00	-20.02	0.03
08:36:51.96	0.83	0.82	27.76	36.32	0.03	0.7585	2.370577E-3	3237.00	932.00	0.00	9999.99	-5.67	16.04	127.50	No GPS Data	No GPS Data	-170.00	-170.00	3237.00	932.00	-19.99	0.02
08:36:52.50	0.94	0.93	27.76	36.32	0.03	0.7538	1.838983E-3	3237.00	932.00	0.00	9999.99	-5.67	16.04	127.50	No GPS Data	No GPS Data	-170.00	-170.00	3237.00	932.00	-19.99	0.03
08:36:53.04	0.90	0.89	27.76	36.32	0.03	0.7567	2.184541E-3	3237.00	932.00	0.00	9999.99	-5.67	16.04	127.50	No GPS Data	No GPS Data	-170.00	-170.00	3237.00	932.00	-20.01	0.03
08:36:53.58	0.89	0.88	27.76	36.32	0.03	0.7526	2.419261E-3	3361.00	-185.00	0.00	9999.99	-5.06	17.82	127.20	No GPS Data	No GPS Data	-1316.00	-1316.00	3361.00	-185.00	-20.02	0.03
08:36:54.12	0.92	0.92	27.76	36.32	0.03	0.7580	2.243702E-3	3361.00	-185.00	0.00	9999.99	-5.06	17.82	127.20	No GPS Data	No GPS Data	-1316.00	-1316.00	3361.00	-185.00	-20.02	0.03
08:36:54.67	0.82	0.82	27.76	36.32	0.03	0.7615	2.275491E-3	1118.00	63.00	0.00	9999.99	-5.54	15.20	128.00	No GPS Data	No GPS Data	-64.00	-64.00	1118.00	63.00	-20.01	0.03
08:36:55.20	0.82	0.82	27.76	36.32	0.03	0.7582	2.157645E-3	1118.00	63.00	0.00	9999.99	-5.54	15.20	128.00	No GPS Data	No GPS Data	-64.00	-64.00	1118.00	63.00	-20.00	0.02
08:36:55.72	0.84	0.84	27.76	36.32	0.03	0.7601	2.590525E-3	1118.00	63.00	0.00	9999.99	-5.54	15.20	128.00	No GPS Data	No GPS Data	-64.00	-64.00	1118.00	63.00	-20.01	0.03
08:36:56.25	0.89	0.89	27.76	36.32	0.03	0.7612	1.976036E-3	1925.00	431.00	0.00	9999.99	-2.02	13.71	130.10	No GPS Data	No GPS Data	-1478.00	-1478.00	1925.00	431.00	-20.01	0.03
08:36:56.79	0.84	0.84	27.76	36.32	0.03	0.7615	2.237722E-3	1925.00	431.00	0.00	9999.99	-2.02	13.71	130.10	No GPS Data	No GPS Data	-1478.00	-1478.00	1925.00	431.00	-20.00	0.02
08:36:57.31	0.82	0.81	27.76	36.32	0.03	0.7644	2.009258E-3	1654.00	310.00	0.00	9999.99	-8.45	19.41	127.20	No GPS Data	No GPS Data	1193.00	1193.00	1654.00	310.00	-20.00	0.03
08:36:57.86	0.88	0.88	27.76	36.32	0.03	0.7611	2.283377E-3	1654.00	310.00	0.00	9999.99	-8.45	19.41	127.20	No GPS Data	No GPS Data	1193.00	1193.00	1654.00	310.00	-20.01	0.03
08:36:58.39	0.79	0.78	27.76	36.32	0.03	0.7615	2.334843E-3	1654.00	310.00	0.00	9999.99	-8.45	19.41	127.20	No GPS Data	No GPS Data	1193.00	1193.00	1654.00	310.00	-20.01	0.03
